Company_Name,ship_name,built_year,gt,dwt,length,width,PC1,PC2,cluster
CAPE SASANQUA,Bulk Carrier,2011,106413,207860,300,50,-0.4022992549668244,-0.43111106122936627,1
BAO GUO,Bulk Carrier,2007,106367,207875,300,50,-0.4202769241571907,-0.9168550014354476,1
C.S. BRILLIANCE,Bulk Carrier,2019,105964,208480,300,50,-0.3695242555920788,0.5354418046732878,1
ONE ARCADIA,Container Ship,2011,105644,95660,332,45,-0.9246672420434788,0.36825910672429807,1
NETADOLA,Bulk Carrier,2007,104721,206312,300,50,-0.44811675950586605,-0.917319385197667,1
MARAN GAS DELPHI,LNG Tanker,2014,103928,89670,294,44,-1.600355217530236,0.47975085854140465,1
COSTA FORTUNA,Passenger (Cruise) Ship,2003,102669,8200,272,36,-3.053098665239624,-0.5372536759821702,0
KOOL CRYSTAL,LNG Tanker,2014,102100,82058,286,43,-1.8597054726109659,0.46194414209150947,1
CAPE KORI,Bulk Carrier,2004,101933,203277,300,50,-0.5103857988319238,-1.2806305097375277,0
EVER LISSOME,Container Ship,2014,101063,103891,335,46,-0.7993837047551954,0.682717466661059,1
ATLANTIC SEA,Container Ship,2016,100430,55738,296,38,-2.2656357785840537,0.9797035382577503,1
EVER LIVELY,Container Ship,2014,99995,103668,335,46,-0.8133888486783891,0.679164887983714,1
MEIN SCHIFF 3,Passenger (Cruise) Ship,2014,99526,7900,293,42,-2.249856751729121,0.828801855914636,1
LNG IMO,LNG Tanker,2008,98798,83688,288,43,-1.8880825615932018,-0.2715648232640598,0
AMALI,LNG Tanker,2011,98490,72800,284,43,-1.9930730503971854,0.10552575342410782,1
NYK VENUS,Container Ship,2007,97825,103207,338,46,-0.8285984170728166,-0.1547658838304715,1
ENERGOS MARIA,LNG Tanker,2006,97491,84823,277,43,-2.067764939545561,-0.6082711913641026,0
TRAIGUEN,Container Ship,2013,96628,116384,300,48,-1.143028437351858,0.18566801868498137,1
MSC ELODIE,Container Ship,2015,96333,127360,300,48,-1.0815232013736729,0.3820719186834331,1
CMA CGM JEAN GABRIEL,Container Ship,2018,96223,110200,300,48,-1.157753907090477,0.8162491243543377,1
MSC ELAINE,Container Ship,2009,95681,98968,340,46,-0.8381374377038392,0.11166942517620143,1
MSC JEONGMIN,Container Ship,2016,95514,110482,300,48,-1.1735955414827957,0.5693785336269949,1
MSC AZOV,Container Ship,2014,95166,112434,300,48,-1.1765227423028233,0.3171555619363748,1
STAR OPHELIA,Bulk Carrier,2010,95047,180716,292,45,-1.2058238068853042,-0.45182844396888105,1
GOLAR ARCTIC,LNG Tanker,2003,94934,74894,280,43,-2.1187054516382178,-0.919422177789512,0
SG FOUNDATION,Bulk Carrier,2009,94863,180403,295,46,-1.0889221850108992,-0.5693486648657634,1
RAMBO,Bulk Carrier,2003,94779,184872,290,47,-1.0852624128336943,-1.37393046661742,0
EVER DEVOTION,Bulk Carrier,2012,94710,180125,295,46,-1.0790652980372666,-0.20472907092657935,1
MILLIE,Bulk Carrier,2009,94710,180311,295,46,-1.0912366163598584,-0.5696108084563625,1
COSCOSHIPPING DANUBE,Container Ship,2016,94623,111290,300,48,-1.1801801278528803,0.5623296440522612,1
WANG MAY,Bulk Carrier,2019,94528,180682,292,45,-1.172871646590492,0.638491617619225,1
MSC AGADIR,Container Ship,2012,94453,112516,299,48,-1.2080763177719396,0.06346941851645584,1
JUDITH SCHULTE,Container Ship,2013,94402,111861,300,48,-1.1930377206629967,0.19494095651703966,1
MARIPERLA,Bulk Carrier,2009,94232,179759,292,45,-1.2249228780649848,-0.57267838421639,1
DISHA,LNG Tanker,2004,94058,81097,277,43,-2.1369709346588026,-0.8500691353480102,0
MARIGO P,Bulk Carrier,2016,94009,179218,292,45,-1.1997574762050922,0.2782189238208527,1
HL GLADSTONE,Bulk Carrier,2011,93872,179851,292,45,-1.2200357933330737,-0.3318179670553552,1
VIENNA EXPRESS,Container Ship,2010,93750,103648,335,43,-1.1497510479557165,0.22620417651938013,1
CAPE CORMORANT,Bulk Carrier,2022,93719,181500,292,45,-1.1652919598138478,0.9958621171638541,1
CORCOVADO,Container Ship,2015,93685,116933,300,48,-1.1669021048788402,0.41384188397009913,1
MEYNELL,Bulk Carrier,1997,93629,185767,292,48,-1.0103101372022516,-2.1149402301250966,0
GLOVIS ADVANCE,Bulk Carrier,2012,93544,179217,292,45,-1.2228629371001785,-0.20921255539162903,1
MAERSK SYDNEY,Container Ship,2005,93511,102861,335,43,-1.1785423396995371,-0.37842394750641795,0
HL SALDANHA BAY,Bulk Carrier,2010,93461,179147,292,45,-1.232971886320165,-0.45201710226601827,1
PAROS,Bulk Carrier,2010,93360,182060,292,45,-1.2192443360948835,-0.4644108969351015,1
GENCO TIGER,Bulk Carrier,2011,93290,179185,292,45,-1.2304610038826826,-0.33151635695285825,1
CAPE KEYSTONE,Bulk Carrier,2011,93227,179250,292,45,-1.2308862139833847,-0.33204710016810657,1
WINNING SPIRIT,Bulk Carrier,2011,93175,179213,292,45,-1.2317022236508512,-0.33211263858664025,1
SEAUNITY,Bulk Carrier,2010,93074,181360,292,45,-1.2262794563318902,-0.4627309591180105,1
TRUE CAPTAIN,Bulk Carrier,2016,92992,180981,292,45,-1.2029601961111198,0.2667181565302317,1
EREIKOUSSA,Bulk Carrier,2012,92865,178896,292,45,-1.2326863824753886,-0.2107346386673683,1
LAKE D,Bulk Carrier,2011,92752,181458,292,45,-1.2252791539486843,-0.3431086423692031,1
KINOKAWA MARU,Bulk Carrier,2013,92752,181392,292,45,-1.21686739915593,-0.10009250546395707,1
BERGE MAWSON,Bulk Carrier,2015,92732,181160,292,45,-1.209548077134202,0.1435221299055897,1
THALASSINI NJORD,Bulk Carrier,2016,92696,181218,292,45,-1.2053088874017968,0.2645055870811717,1
